,course name,Link to course,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
39,Análise e mineração de texto + Classificação de emoção (NLP),https://www.udemy.com/course/analise-e-mineracao-de-texto-classificacao-de-emocao-nlp/,814,43,2,9/2022,Portuguese,1,1,69.90,1,5,40,4h 44m,Data Viking,"39,377",10,4.5,Odemir Depieri Jr,"19,066",8,4.5,0,0,0,4.8
40,Machine Learning vom Anfänger zum ML Engineer,https://www.udemy.com/course/maschinelles-lernen/,311,43,1,6/2021,German,1,0,69.90,1,10,143,16h 14m,"Robin Egolf, Teachhood",311,1,4.3,null,null,null,null,1,0,0,4.3
41,Desenvolvendo Data Apps com Streamlit,https://www.udemy.com/course/desenvolvendo-data-apps-com-streamlit/,168,42,1,8/2022,Portuguese,1,0,69.90,1,4,35,5h 54m,Rodrigo Macedo,"2,585",7,4.6,null,null,null,null,0,0,0,4.7
42,Big Data - Les fondamentaux,https://www.udemy.com/course/big-data-les-fondamentaux/,112,41,1,6/2018,French,1,1,179.90,0,3,10,31m total,Collège de Paris,617,6,3.9,null,null,null,null,0,0,0,3.3
43,Machine Learning com Spark e Pyspark: o Curso Completo,https://www.udemy.com/course/machine-learning-com-spark-e-pyspark/,488,41,1,2/2023,Portuguese,1,1,69.90,1,12,61,9h 51m,Fernando Amaral,"171,343",56,4.6,null,null,null,null,0,0,0,4.8
44,Python Programlama Kullanarak Veri Bilimi: Pandas A-Z™,https://www.udemy.com/course/python-programlama-kullanarak-veri-bilimi-pandas-a-ztm/,155,40,3,1/2023,Turkish,1,0,69.90,1,12,58,6h 35m,Oak Academy,"282,153",257,4.5,OAK Academy Team,"347,570",276,4.5,1,0,0,4.7
45,Bilgisayar Öğretmeninden R ile Makine Öğrenmesi  Temelleri,https://www.udemy.com/course/bilgisayar-ogretmeninden-r-ile-makine-ogrenmesi-temelleri/,"1,186",40,1,4/2022,Turkish,1,0,69.90,1,8,54,11h 58m,Tuncay EROL,"26,477",29,4.7,null,null,null,null,0,0,0,4.8
46,Python Data Science A-Z: Python ile Veri Bilimi,https://www.udemy.com/course/python-data-science-a-z-python-ile-veri-bilimi/,181,40,1,2/2021,Turkish,1,0,69.90,1,9,67,10h 44m,Sait Akay,"7,703",2,4.5,null,null,null,null,0,0,0,4.5
47,ADsP 2주 합격 올인원 패스,https://www.udemy.com/course/maso-ds-r-onc2005/,194,43,1,8/2022,Korean,1,0,69.90,1,5,107,24h 59m,마소캠퍼스 머니매그넷,"2,248",50,4.7,null,null,null,null,0,0,0,4.4
48,Python Básico para Iniciantes - Direto ao Ponto,https://www.udemy.com/course/python-basico-para-iniciantes-versao-2021/,92,40,1,2/2022,Portuguese,1,0,69.90,1,7,22,1h 54m,Escola de Devs Oficial,"3,299",12,4.8,null,null,null,null,1,0,0,4.7
49,Inteligência Artificial com PHP-ML,https://www.udemy.com/course/inteligencia-artificial-com-php-ml/,150,40,1,10/2019,Portuguese,1,1,69.90,0,18,79,10h 10m,Ben-Hur Varriano,"2,705",12,4.2,null,null,null,null,0,0,0,4.5
50,"Python ile Algoritmalar (Bol Teori, Bol Kod)",https://www.udemy.com/course/python-ile-algoritmalar/,"1,411",39,1,5/2020,Turkish,1,0,69.90,1,5,42,5h 6m,Algoritma Uzmani,"2,207",2,4.1,null,null,null,null,0,0,0,4.4
51,Introducción a SAP - INTENSIVO ESPAÑOL!,https://www.udemy.com/course/intro-sap-intensivo/,74,40,1,3/2022,Spanish,1,1,69.90,1,5,16,40m total,Adrián Javier Tagüico,"36,625",16,4.2,null,null,null,null,1,0,0,4.5
